283.106243651, 0.239898852586
283.798116026, 0.265396136326
284.386294282, 0.322445195048
285.214775621, 0.383840307379
285.849395523, 0.503197600955
286.53397925, 0.602604964922
287.883319319, 0.72299100666
288.250746667, 0.835186070328
289.364668154, 0.98318456362
290.112525719, 1.10680147844
290.609000385, 1.21889714522
291.101601351, 1.35985973918
292.955021309, 1.65830200469
294.977000222, 2.07254585932
297.195599275, 2.43591328823
298.457644429, 2.82650334321
299.966122239, 3.2446267039
302.189884766, 3.86347422557
304.09558918, 4.9019087094
306.987612841, 5.83184619451
308.579373035, 6.54719907586
310.685888122, 7.48754542999
312.582944305, 8.44533544992
314.955244151, 9.80471804691
316.879568998, 11.5122461613
321.374818131, 14.2111943537
324.318633567, 15.633688453
331.187867831, 18.437311239
338.037952949, 20.2398068757
346.767799811, 22.2844358106
357.251160408, 23.987544907
364.344538773, 24.9681121422
377.561122023, 26.4856701007
389.64793238, 27.0831933357
400.541010687, 26.7535618367
412.186219067, 26.0026791029
422.674116896, 25.247387517
434.251254141, 24.1728200127
445.409869638, 22.8420672223
456.792133032, 21.0604411224
468.922972845, 19.3069012626
479.924952526, 17.4959170893
492.8915673, 15.1730103641
506.587830853, 12.6866187243
514.707624979, 11.14907663
521.192839608, 9.74140298617
525.690629802, 8.97144009415
532.439710825, 7.78898318769
538.724739524, 6.73528648664
544.542227296, 5.93062711699
549.640124776, 5.24579938961
556.081818522, 4.42877152189
559.949890886, 4.03078645156
564.946560114, 3.45845533256
570.459069032, 2.93744202448
575.97022581, 2.5081610452
582.20950669, 2.02886246025
587.038053936, 1.74142992097
590.167791259, 1.54758639958
592.303478145, 1.43520257218
594.934840243, 1.29646000273
598.37314368, 1.12753596448
601.863425634, 0.966753598555
604.826183387, 0.849056071555
606.896911799, 0.769079025524
609.435035599, 0.689039001542
612.441141204, 0.592621205353
616.151281881, 0.492831436445
621.120363182, 0.387235821636
624.841164997, 0.318375401488
627.494150509, 0.265259071739
629.485933464, 0.229514336907
633.330736992, 0.187704611622
635.624542389, 0.163079830349
639.251383702, 0.137691963073
642.428211698, 0.11536295704
644.812411609, 0.09513798814
645.824975897, 0.0895216149087
